,Floor,SA (ft2),Price(HK$),Price/ft2(SA),Date,District
389,H,429,13800,32.17,2021-12-06,Tseung Kwan O
390,L,522,14800,28.35,2021-12-05,Yau Tong
391,H,410,14000,34.15,2021-12-05,Tseung Kwan O
392,L,432,15800,36.57,2021-12-05,Aberdeen
394,H,456,16800,36.84,2021-12-04,Tseung Kwan O
395,L,363,14500,39.94,2021-12-04,Tseung Kwan O
396,L,371,12500,33.69,2021-12-04,Aberdeen
398,H,434,16000,36.87,2021-12-03,Tseung Kwan O
401,M,614,19800,32.25,2021-11-30,Lam Tin
402,L,517,15300,29.59,2021-11-29,Yau Tong
403,L,274,9500,34.67,2021-11-29,Aberdeen
404,L,504,14500,28.77,2021-11-29,Aberdeen
405,L,383,13500,35.25,2021-11-29,Aberdeen
407,H,386,14800,38.34,2021-11-29,Aberdeen
408,L,612,20000,32.68,2021-11-28,Lam Tin
409,H,211,9500,45.02,2021-11-28,Tseung Kwan O
410,M,554,13500,24.37,2021-11-28,Tseung Kwan O
411,H,668,24500,36.68,2021-11-28,Tseung Kwan O
412,H,631,20000,31.7,2021-11-27,Tseung Kwan O
413,H,375,14000,37.33,2021-11-27,Aberdeen
414,M,329,9000,27.36,2021-11-27,Wong Chuk Hang
415,H,375,15500,41.33,2021-11-27,Aberdeen
416,M,748,24000,32.09,2021-11-26,Yau Tong
417,M,517,13800,26.69,2021-11-26,Yau Tong
418,M,363,15000,41.32,2021-11-26,Tseung Kwan O
419,M,612,20000,32.68,2021-11-24,Lam Tin
420,H,517,16000,30.95,2021-11-22,Yau Tong
421,L,344,12000,34.88,2021-11-22,Aberdeen
422,L,517,16500,31.91,2021-11-21,Yau Tong
423,H,701,22000,31.38,2021-11-21,Tseung Kwan O
424,M,612,20500,33.5,2021-11-20,Lam Tin
425,L,748,22500,30.08,2021-11-20,Yau Tong
426,L,517,16000,30.95,2021-11-20,Yau Tong
427,M,525,17800,33.9,2021-11-20,Yau Tong
428,M,517,16000,30.95,2021-11-19,Yau Tong
429,L,522,15300,29.31,2021-11-19,Yau Tong
430,L,432,15500,35.88,2021-11-19,Tseung Kwan O
431,L,687,22500,32.75,2021-11-17,Yau Tong
432,H,406,13000,32.02,2021-11-17,Aberdeen
433,H,274,12300,44.89,2021-11-16,Aberdeen
434,L,517,16800,32.5,2021-11-15,Yau Tong
435,H,626,20000,31.95,2021-11-15,Tseung Kwan O
437,H,364,14500,39.84,2021-11-14,Tseung Kwan O
438,H,612,20500,33.5,2021-11-13,Lam Tin
440,M,554,14000,25.27,2021-11-13,Tseung Kwan O
441,H,406,16500,40.64,2021-11-13,Tseung Kwan O
442,H,321,18000,56.07,2021-11-11,Aberdeen
443,M,522,17500,33.52,2021-11-10,Yau Tong
444,H,401,15500,38.65,2021-11-10,Aberdeen
445,L,522,16000,30.65,2021-11-09,Yau Tong
446,M,687,19500,28.38,2021-11-09,Yau Tong
447,M,517,15000,29.01,2021-11-09,Yau Tong
448,L,522,17800,34.1,2021-11-09,Yau Tong
449,L,517,17000,32.88,2021-11-09,Yau Tong
450,M,287,12400,43.21,2021-11-09,Aberdeen
451,L,384,13300,34.64,2021-11-09,Aberdeen
452,M,450,12800,28.44,2021-11-09,Tseung Kwan O
453,L,614,19500,31.76,2021-11-07,Lam Tin
454,L,522,16000,30.65,2021-11-07,Yau Tong
455,H,463,15300,33.05,2021-11-07,Tseung Kwan O
456,M,484,14300,29.55,2021-11-07,Tseung Kwan O
457,H,254,14600,57.48,2021-11-07,Aberdeen
458,H,382,15000,39.27,2021-11-06,Aberdeen
459,H,300,13000,43.33,2021-11-06,Aberdeen
460,H,419,13300,31.74,2021-11-06,Aberdeen
461,H,614,20600,33.55,2021-11-04,Lam Tin
462,H,517,16000,30.95,2021-11-04,Yau Tong
463,H,698,24000,34.38,2021-11-04,Tseung Kwan O
464,M,517,17000,32.88,2021-11-03,Yau Tong
465,M,429,13800,32.17,2021-11-03,Tseung Kwan O
466,H,556,16300,29.32,2021-11-03,Tseung Kwan O
467,H,287,11000,38.33,2021-11-03,Aberdeen
468,H,293,11600,39.59,2021-11-03,Aberdeen
469,H,364,15000,41.21,2021-11-03,Tseung Kwan O
470,L,388,16500,42.53,2021-11-03,Tseung Kwan O
472,H,420,14000,33.33,2021-11-01,Tseung Kwan O
473,M,538,19000,35.32,2021-11-01,Tseung Kwan O
474,L,517,16900,32.69,2021-10-31,Yau Tong
475,H,425,14400,33.88,2021-10-31,Aberdeen
476,L,407,13000,31.94,2021-10-31,Tseung Kwan O
477,H,267,12000,44.94,2021-10-31,Aberdeen
478,H,720,25000,34.72,2021-10-30,Lam Tin
479,M,687,24000,34.93,2021-10-30,Yau Tong
480,M,236,10800,45.76,2021-10-29,Aberdeen
482,L,432,16000,37.04,2021-10-27,Aberdeen
483,H,559,18500,33.09,2021-10-27,Aberdeen
484,H,375,16700,44.53,2021-10-27,Aberdeen
485,H,522,17000,32.57,2021-10-26,Yau Tong
486,M,517,17000,32.88,2021-10-25,Yau Tong
487,L,267,11300,42.32,2021-10-25,Aberdeen
488,L,452,14500,32.08,2021-10-25,Tseung Kwan O
489,H,431,14000,32.48,2021-10-24,Tseung Kwan O
490,H,687,25000,36.39,2021-10-23,Yau Tong
491,M,517,16800,32.5,2021-10-23,Yau Tong
492,M,517,16000,30.95,2021-10-22,Yau Tong
493,M,470,16800,35.74,2021-10-22,Tseung Kwan O
494,H,487,17000,34.91,2021-10-22,Tseung Kwan O
495,L,517,16500,31.91,2021-10-21,Yau Tong
496,H,748,22000,29.41,2021-10-21,Yau Tong
497,M,597,16500,27.64,2021-10-21,Tseung Kwan O
498,L,580,21800,37.59,2021-10-21,Tseung Kwan O
499,M,354,13800,38.98,2021-10-20,Tseung Kwan O
500,L,316,10000,31.65,2021-10-20,Aberdeen
501,H,265,12500,47.17,2021-10-19,Aberdeen
503,H,440,16500,37.5,2021-10-19,Tseung Kwan O
504,H,601,19000,31.61,2021-10-19,Tseung Kwan O
505,M,363,14500,39.94,2021-10-19,Tseung Kwan O
506,L,687,19500,28.38,2021-10-18,Yau Tong
507,L,517,16000,30.95,2021-10-18,Yau Tong
508,L,748,23000,30.75,2021-10-18,Yau Tong
509,H,370,15500,41.89,2021-10-18,Aberdeen
