District,SA (ft2),Price(HK$),Date,Floor,Price/ft2(SA),Estate,District1
Kai Tak New Area,331,16000,2022-04-22 00:00:00,H,48.34,Summit,YAU TSIM MONG
Kai Tak New Area,459,16200,2022-04-22 00:00:00,H,35.29,Summit,YAU TSIM MONG
Olympic Station,482,18500,2022-04-22 00:00:00,H,38.38,Harbour Green,YAU TSIM MONG
Lohas Park,370,13000,2022-04-22 00:00:00,M,35.14,Lohas Park,SAI KUNG
Lam Tin,537,17000,2022-04-22 00:00:00,H,31.66,Sceneway Garden,KWUN TONG
Lohas Park,1075,36000,2022-04-22 00:00:00,H,33.49,Lohas Park,SAI KUNG
Lohas Park,374,14200,2022-04-22 00:00:00,M,37.97,Lohas Park,SAI KUNG
Lohas Park,366,13800,2022-04-22 00:00:00,M,37.7,Lohas Park,SAI KUNG
Lohas Park,381,14000,2022-04-22 00:00:00,H,36.75,Lohas Park,SAI KUNG
Kai Tak New Area,543,21500,2022-04-22 00:00:00,M,39.59,Upper Riverbank,CENTRAL & WESTERN
Olympic Station,540,22500,2022-04-22 00:00:00,L,41.67,The Hermitage,YAU TSIM MONG
Tung Chung Town Centre,962,27500,2022-04-22 00:00:00,L,28.59,The Visionary,ISLANDS
Sham Shui Po,332,13800,2022-04-22 00:00:00,L,41.57,High Point,SHAM SHUI PO
Mid-Levels West,1244,62500,2022-04-22 00:00:00,M,50.24,The Belchers,CENTRAL & WESTERN
Lohas Park,458,14500,2022-04-22 00:00:00,L,31.66,Lohas Park,SAI KUNG
Tung Chung Town Centre,482,13800,2022-04-22 00:00:00,H,28.63,Century Link,ISLANDS
Pak Shek Kok | Tai Po Mid-levels,945,40000,2022-04-22 00:00:00,L,42.33,Mayfair By The Sea,TAI PO
North Point,396,16500,2022-04-22 00:00:00,H,41.67,Fortress Metro Tower,EASTERN
North Point,347,12800,2022-04-22 00:00:00,L,36.89,Kar On House,EASTERN
Tung Chung Town Centre,379,11000,2022-04-22 00:00:00,H,29.02,Century Link,ISLANDS
Sai Wan Ho,368,15300,2022-04-22 00:00:00,M,41.58,Scenic Horizon,EASTERN
Taikoo Shing,583,19900,2022-04-22 00:00:00,H,34.13,Taikoo Shing,EASTERN
Wan Chai,535,31000,2022-04-22 00:00:00,H,57.94,The Avenue,WAN CHAI
Chi Lok,320,8800,2022-04-22 00:00:00,M,27.5,Tuen Mun Fa Yuen,TUEN MUN
Wan Chai,548,14500,2022-04-22 00:00:00,H,26.46,The Mount,CENTRAL & WESTERN
Tin Wan,254,13000,2022-04-22 00:00:00,L,51.18,South Coast,SOUTHERN
Tin Shui Wai,506,11000,2022-04-22 00:00:00,M,21.74,Tin Fu Court,YUEN LONG
Tsuen Wan West,507,20000,2022-04-22 00:00:00,M,39.45,Vision City,TSUEN WAN
Kai Tak New Area,459,16800,2022-04-22 00:00:00,H,36.6,Summit,YAU TSIM MONG
Ma On Shan,520,18500,2022-04-22 00:00:00,M,35.58,Bayshore Towers,SHA TIN
Tsing Yi,771,22000,2022-04-22 00:00:00,H,28.53,Tierra Verde,KWAI TSING
Kai Tak New Area,293,13800,2022-04-22 00:00:00,M,47.1,Summit,YAU TSIM MONG
Long Ping,598,17000,2022-04-22 00:00:00,M,28.43,The Spectra,YUEN LONG
Wan Chai,338,18000,2022-04-22 00:00:00,M,53.25,The Avenue,WAN CHAI
Tsing Yi,401,12500,2022-04-22 00:00:00,H,31.17,Ching Wah Court,KWAI TSING
Po Lam,410,13500,2022-04-22 00:00:00,H,32.93,Finery Park,SAI KUNG
South Horizons,783,26000,2022-04-21 00:00:00,M,33.21,South Horizons,SOUTHERN
Tsuen Wan West,522,18300,2022-04-21 00:00:00,L,35.06,Parc City,TSUEN WAN
Kowloon City,1053,9000,2022-04-21 00:00:00,Others,8.55,11A Junction Road,KOWLOON CITY
